Ano_1998,Ano_1999,Ano_2000,Ano_2001,Ano_2002,Ano_2003,Ano_2004,Ano_2005,Ano_2006,Ano_2007,Ano_2008,Ano_2009,Ano_2010,Ano_2011,Ano_2012,Ano_2013,Ano_2014,Ano_2015,Ano_2016,Ano_2017,Ano_2018,Ano_2019
6.17,4.42,4.55,6.68,6.18,5.86,3.07,12.8,14.9,44.8,36.4,44.5,48.1,65.5,95.3,117.7,128.4,140.7,212.3,310.2,351.3,242
8.28,12.9,14.7,14.4,36.6,63.8,106.5,126.7,133.1,151.4,150.4,98.7,146,129.5,118.9,125.4,109,112.1,126.6,1023.1,683.4,761.4
6.78,8.97,8.4,12.9,15.2,14.3,10.2,2.19,4.41,54.7,-46.4,-50.1,-33.5,213.7,64.3,59.4,-15.3,-35.4,10.5,4.1,19.5,13.6
1.09,3.33,-0.36,4.24,0.241,2.56,3.16,5.18,14.8,23.8,29.7,36.9,49,61.1,91.7,107.4,130.4,197,224,220.7,237.8,257.2
8.16,8.43,9.28,13,7.29,6.05,7.6,7.5,8.28,10.9,3.77,7.02,2.02,-2.4,10.3,24.8,27.9,25.7,18.6,15.6,15,1.24
31.4,9.88,3.71,-16.9,7.66,12.1,23.4,34.6,86.2,107.5,46.9,33.3,38.9,109.1,41.6,22.3,60.6,75.7,79.1,81.9,44.2,-107.7
11,9.02,12.1,9.88,8.22,5.19,4.36,2.49,31,84.3,40.3,27.2,290.5,1159.8,338.3,181.5,62.2,48.5,26.3,106.6,130.8,98.8
-329.5,847.2,3771.1,3332.6,3136,4613.3,7971.6,7380.1,10339.1,11780.4,3788.8,13481.7,17593.3,16571.3,14521.5,15859.9,11458.4,8938.9,9638.4,14149.9,14260.3,12815.6
5.26,5.63,5.92,7.3,7.38,8.62,9.28,1.35,2.77,5.75,9.43,0.075,37.7,11.5,-43.5,4.07,-28.4,426.1,331.7,227,250.4,215.5
18.1,21.1,20.5,19.9,17.4,9.54,9.55,12.2,7.23,54.7,97.9,113.1,193,130.6,148,155.1,67.1,14.4,173.2,230.9,237.9,257.7
6.25,8.73,12.3,10,10.1,12.2,14.5,17.9,30.5,55.7,57.4,71.8,91.2,96.6,88.9,87.8,67.1,55.1,46.1,68.4,98.4,86.3
3.21,4.11,7.09,9.8,11.8,12.8,22.8,23.7,23,20.3,-5.09,12.1,31.9,184.8,45,-2.73,6.28,-34.2,10.9,52,116.4,23.9
2.69,9.94,11.1,13.5,12.9,12.6,43.3,3.37,-0.179,0.786,1.95,2.91,3.54,4.93,4.99,6.97,-5,12.2,3.92,17.8,-22.9,-16.4
7.06,8.08,8.11,8.74,8.59,8.61,7.51,-17.8,-23.4,2.34,-50.9,-46,45.4,11.3,15.4,44.4,33.3,35.6,25.2,45.3,57,70.4
10.2,12.6,21.7,23.4,24.8,19,10,32.3,29.4,56.1,67.8,82.1,88.7,104.3,116.4,171,135.3,117.8,132.1,160.2,167.2,179
23.6,26.9,30,20.6,22.9,33,-82.1,29.6,41.9,67.6,97.8,134.3,146,148.9,204.8,222.7,199.7,222.3,186.3,203.6,222.8,361.9
12.5,12.8,12.9,10.7,2.42,2.2,4.96,6.77,1.95,-28.9,5.54,0.47,19.1,17.8,18.2,26.5,48.6,46.4,15.6,-87.6,-157.3,93
-93.1,44.7,67.5,102.8,110.6,-67.4,46.6,-205.8,-14.7,335.8,-394.5,55.7,1253.8,1150.7,760,629.5,452.6,861.1,980.1,1244.7,490.7,403.1
3.76,3.5,3.12,2.02,5.15,4.82,1.38,2.93,9.85,22.4,29.6,31.7,36.9,41,47.1,52.3,66.2,69.1,67.5,82.6,73.4,57.1
9.22,7.47,3.71,4.53,0.823,0.729,2.04,3.77,8.48,11.3,10.5,23.3,16.2,15.6,9.31,15,10.4,5.42,-24.2,17.9,23.7,17.6
3.22,6,5.43,6.09,7.59,5.38,-177.3,-18.3,3.9,7.77,-1.29,-4.31,-5.47,-3.69,7.89,14.3,31.2,39.1,34.4,43,42.6,140.3
6.98,6.8,4.98,4.79,5.07,5.5,3.16,0.464,-3.91,-30.8,-1.53,-2.03,1.68,0.776,32.2,22.1,-4.17,-87.3,4.38,28.8,31.9,36.7
3.18,3.07,3.26,1.66,1.88,4.21,3.35,1.51,2.29,3.75,2.71,5.28,-1.27,-5.22,-9.46,6.77,-21.5,5.93,-20.5,9.68,-2.01,-24.4
